date,p1.sm,p2.sm,p3.sm,p4.sm,p5.sm,p6.sm,p7.sm,p8.sm,p9.sm,p10.sm,p11.sm,p12.sm,p13.sm,p14.sm,p15.sm,p16.sm,p17.sm,p18.sm
2015-09-09,0.059461538,0.133307692,0.093,0.071538462,0.116384615,0.072923077,0.089384615,0.101307692,0.088692308,0.103384615,0.089615385,0.109384615,0.106,0.149076923,0.107461538,0.121153846,0.092923077,0.078
2015-09-10,0.103625,0.235541667,0.203458333,0.110875,0.197708333,0.074791667,0.147,0.185916667,0.188125,0.19775,0.173125,0.168,0.225458333,0.230583333,0.138583333,0.179625,0.194541667,0.110625
2015-09-11,0.151875,0.266375,0.242875,0.163208333,0.236166667,0.083875,0.196125,0.235125,0.2545,0.237583333,0.225416667,0.212625,0.270875,0.2655,0.167833333,0.211041667,0.229333333,0.186083333
2015-09-12,0.129,0.228791667,0.187083333,0.136416667,0.175583333,0.093083333,0.157291667,0.188416667,0.183208333,0.190291667,0.169083333,0.175166667,0.209458333,0.21525,0.141083333,0.169958333,0.178708333,0.17375
2015-09-13,0.132416667,0.235833333,0.190541667,0.142708333,0.188666667,0.098916667,0.169791667,0.197708333,0.202666667,0.204416667,0.192041667,0.177333333,0.215416667,0.230708333,0.146666667,0.175791667,0.192458333,0.17725
2015-09-14,0.16025,0.299708333,0.22775,0.1805,0.2335,0.128041667,0.203916667,0.235416667,0.250583333,0.239583333,0.23175,0.213125,0.25725,0.252625,0.178916667,0.206166667,0.224541667,0.208041667
2015-09-15,0.136416667,0.25775,0.191541667,0.151958333,0.186833333,0.123083333,0.175166667,0.197875,0.2005,0.203666667,0.196791667,0.185583333,0.216333333,0.22075,0.153791667,0.176458333,0.190166667,0.188416667
2015-09-16,0.120625,0.237958333,0.171,0.13675,0.167166667,0.118416667,0.159083333,0.177208333,0.17575,0.185958333,0.178541667,0.17125,0.195041667,0.205541667,0.143416667,0.1625,0.170125,0.175958333
2015-09-17,0.109541667,0.227833333,0.155708333,0.125458333,0.153958333,0.119291667,0.147666667,0.162875,0.158666667,0.173083333,0.164958333,0.144208333,0.177791667,0.187625,0.1365,0.152833333,0.153666667,0.165625
2015-09-18,0.099708333,NA,0.142125,0.115791667,0.143041667,0.121708333,0.137625,0.150458333,0.144208333,0.162,0.152875,0.121916667,0.161625,0.1725,0.131166667,0.144458333,0.138583333,0.15575
2015-09-19,0.092208333,NA,0.131791667,0.107958333,0.134541667,0.11925,0.129666667,0.140875,0.132916667,0.153375,0.143208333,0.11825,0.1495,0.166666667,0.126833333,0.137625,0.127458333,0.147
2015-09-20,0.086583333,NA,0.123666667,0.101541667,0.127541667,0.11675,0.123416667,0.132875,0.123791667,0.145916667,0.134708333,0.114791667,0.139166667,0.161958333,0.123208333,0.131541667,0.118291667,0.139333333
2015-09-21,0.081,NA,0.11575,0.095541667,0.120541667,0.114083333,0.117583333,0.124916667,0.114791667,0.137666667,0.125875,0.111625,0.129291667,0.156666667,0.119458333,0.125083333,0.10875,0.130541667
2015-09-22,0.077041667,NA,0.10975,0.091125,0.114791667,0.112291667,0.113166667,0.11875,0.107875,0.13125,0.118916667,0.10825,0.121458333,0.152875,0.116791667,0.120083333,0.102125,0.123125
2015-09-23,0.07425,NA,0.10575,0.087833333,0.1105,0.109875,0.109833333,0.11375,0.103,0.126416667,0.113625,0.105875,0.114958333,0.149416667,0.114416667,0.115833333,0.097166667,0.117416667
2015-09-24,0.069791667,NA,0.09975,0.083375,0.104791667,0.106875,0.104458333,0.106958333,0.096958333,0.11925,0.105875,0.102458333,0.106083333,0.144833333,0.111666667,0.110583333,0.090291667,0.110166667
2015-09-25,0.067125,NA,0.095125,0.079833333,0.100083333,0.10425,0.100583333,0.101791667,0.092,0.113458333,0.099458333,0.099666667,0.099291667,0.141416667,0.109125,0.106875,0.085416667,0.103875
2015-09-26,0.065208333,NA,0.091916667,0.077041667,0.096666667,0.102333333,0.097541667,0.097625,0.088833333,0.108958333,0.094666667,0.097333333,0.094541667,0.138041667,0.10725,0.103708333,0.081916667,0.098791667
